2021-01-05T01:49:57,311 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.8 | Updating configuration from org.ops4j.pax.url.mvn.cfg
2021-01-05T01:49:57,311 | INFO  | CM Configuration Updater (ManagedService Update: pid=[org.ops4j.pax.logging]) | EventAdminConfigurationNotifier  | 6 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2021-01-05T01:49:57,335 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.8 | Updating configuration from org.ops4j.pax.web.cfg
2021-01-05T01:49:57,488 | INFO  | FelixStartLevel  | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2021-01-05T01:49:57,527 | INFO  | FelixStartLevel  | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744] for service with service.id [16]
2021-01-05T01:49:57,995 | INFO  | activator-1-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@3eb6606b with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744
2021-01-05T01:49:58,024 | INFO  | activator-1-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@3eb6606b with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744
2021-01-05T01:49:58,039 | INFO  | activator-1-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@3eb6606b with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744
2021-01-05T01:49:58,039 | INFO  | activator-1-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@3eb6606b with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744
2021-01-05T01:49:58,043 | INFO  | activator-1-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@3eb6606b with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744
2021-01-05T01:49:58,047 | INFO  | activator-1-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@3eb6606b with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=d6adbb92-8c35-4cef-abc9-6f6767137744
2021-01-05T01:49:58,220 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.bundle.core/4.2.10
2021-01-05T01:49:58,261 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.config.core/4.2.10
2021-01-05T01:49:58,376 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.deployer.kar/4.2.10
2021-01-05T01:49:58,380 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.2.10
2021-01-05T01:49:58,428 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Command registration delayed for bundle org.apache.karaf.features.command/4.2.10. Missing service: [org.eclipse.equinox.region.RegionDigraph, org.apache.karaf.features.FeaturesService, org.ops4j.pax.url.mvn.MavenResolver]
2021-01-05T01:49:58,459 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.instance.core/4.2.10
2021-01-05T01:49:58,496 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.10
2021-01-05T01:49:58,503 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.10
2021-01-05T01:49:58,512 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.10
2021-01-05T01:49:58,546 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Command registration delayed for bundle org.apache.karaf.kar.core/4.2.10. Missing service: [org.apache.karaf.kar.KarService]
2021-01-05T01:49:58,564 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.log.core/4.2.10
2021-01-05T01:49:58,571 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.package.core/4.2.10
2021-01-05T01:49:58,577 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.service.core/4.2.10
2021-01-05T01:49:58,603 | INFO  | FelixStartLevel  | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.10
2021-01-05T01:49:58,608 | WARN  | CM Configuration Updater (ManagedServiceFactory Update: factoryPid=[org.apache.felix.fileinstall]) | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.8 | /root/WIF3006_OSGI_Project/karaf-runtime/deploy does not exist, please create it.
2021-01-05T01:49:58,610 | WARN  | CM Configuration Updater (ManagedServiceFactory Update: factoryPid=[org.apache.felix.fileinstall]) | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.8 | Root path does not exist: /root/WIF3006_OSGI_Project/karaf-runtime/deploy
2021-01-05T01:49:58,616 | WARN  | CM Configuration Updater (ManagedServiceFactory Update: factoryPid=[org.apache.felix.fileinstall]) | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.8 | C:\Users\fangwainam\Developer\fitness-osgi\karaf-runtime/deploy does not exist, please create it.
2021-01-05T01:49:58,622 | WARN  | CM Configuration Updater (ManagedServiceFactory Update: factoryPid=[org.apache.felix.fileinstall]) | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.8 | Root path does not exist: /root/WIF3006_OSGI_Project/karaf-runtime/C:\Users\fangwainam\Developer\fitness-osgi\karaf-runtime/deploy
