Jan 05, 2021 9:51:24 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\fangwainam\WIF3006_OSGI_Project\karaf-runtime\lock
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2021-01-05T09:51:25,325 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 6 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2021-01-05T09:51:25,703 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 | Adding features: instance/[4.2.10,4.2.10],config/[4.2.10,4.2.10],kar/[4.2.10,4.2.10],framework/[4.2.10,4.2.10],shell/[4.2.10,4.2.10],service/[4.2.10,4.2.10],diagnostic/[4.2.10,4.2.10],jaas/[4.2.10,4.2.10],wrap/[2.6.2,2.6.2],package/[4.2.10,4.2.10],system/[4.2.10,4.2.10],feature/[4.2.10,4.2.10],deployer/[4.2.10,4.2.10],management/[4.2.10,4.2.10],bundle/[4.2.10,4.2.10],eventadmin/[4.2.10,4.2.10],log/[4.2.10,4.2.10],ssh/[4.2.10,4.2.10]
2021-01-05T09:51:26,061 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 | Changes to perform:
2021-01-05T09:51:26,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   Region: root
2021-01-05T09:51:26,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |     Bundles to install:
2021-01-05T09:51:26,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.bouncycastle/bcpkix-jdk15on/1.66
2021-01-05T09:51:26,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.bouncycastle/bcprov-jdk15on/1.66
2021-01-05T09:51:26,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2021-01-05T09:51:26,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2021-01-05T09:51:26,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2021-01-05T09:51:26,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
